wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
222.1,0.04391116815014363,5.70845149923116E-4,1.0
222.2,0.04505446357346893,5.857079522684216E-4,1.0
222.3,0.046061337218824626,5.987973418086767E-4,1.0
222.4,0.046944936728818415,6.102841580286622E-4,1.0
222.5,0.047764776166530847,6.20942038949579E-4,1.0
222.6,0.04861480722731352,6.319924723356962E-4,1.0
222.7,0.04960117015057683,6.448152125813067E-4,1.0
222.8,0.05081380040649891,6.605793605558574E-4,1.0
222.9,0.05229963388031602,6.798952235840261E-4,1.0
223.0,0.05404373461025119,7.025685044936836E-4,1.0
223.1,0.05596254113523245,7.275130483321846E-4,1.0
223.2,0.05791396700148583,7.528815185651183E-4,1.0
223.3,0.05972086870515346,7.76371278334409E-4,1.0
223.4,0.06120563318371296,7.956731715239584E-4,1.0
223.5,0.06222563449045658,8.089332259260118E-4,1.0
223.6,0.06270251627206205,8.151326910592616E-4,1.0
223.7,0.0626370478054905,8.142816368490458E-4,1.0
223.8,0.062106086852581496,8.073790813796222E-4,1.0
223.9,0.06124463652470112,7.961802766658366E-4,1.0
224.0,0.06021677260797858,7.828180096112192E-4,1.0
224.1,0.0591835437337482,7.693860679864883E-4,1.0
224.2,0.05827357900426984,7.575565250590444E-4,1.0
224.3,0.057563436463086606,7.483246736228466E-4,1.0
224.4,0.05706824189356327,7.418871391564608E-4,1.0
224.5,0.05674667413321852,7.377067231573164E-4,1.0
224.6,0.056516740246732235,7.347175851464272E-4,1.0
224.7,0.0562802325389421,7.316429982893169E-4,1.0
224.8,0.05594837445041657,7.273288792930543E-4,1.0
224.9,0.05546256106357455,7.210132898762822E-4,1.0
225.0,0.05480445960927844,7.124579860828817E-4,1.0
225.1,0.0539935817486322,7.019165204837918E-4,1.0
225.2,0.05307490520733475,6.899737636558712E-4,1.0
225.3,0.052101250339844224,6.773162167519331E-4,1.0
225.4,0.051116405989283326,6.645132671110332E-4,1.0
225.5,0.05014353038936376,6.518658483400941E-4,1.0
225.6,0.049181264817141294,6.393563817255199E-4,1.0
225.7,0.04820749006233215,6.26697379630059E-4,1.0
